model_name,d_in,d_out,d_out2,prec,model_file
dense_8_64_72_2b,8,64,72,2,pregen_2layer_models/dense_8_64_72_2b.h5
dense_8_64_72_4b,8,64,72,4,pregen_2layer_models/dense_8_64_72_4b.h5
dense_8_64_72_6b,8,64,72,6,pregen_2layer_models/dense_8_64_72_6b.h5
dense_8_64_72_8b,8,64,72,8,pregen_2layer_models/dense_8_64_72_8b.h5
dense_8_64_72_10b,8,64,72,10,pregen_2layer_models/dense_8_64_72_10b.h5
dense_8_64_72_12b,8,64,72,12,pregen_2layer_models/dense_8_64_72_12b.h5
dense_8_64_72_14b,8,64,72,14,pregen_2layer_models/dense_8_64_72_14b.h5
dense_8_64_72_16b,8,64,72,16,pregen_2layer_models/dense_8_64_72_16b.h5
dense_8_64_80_2b,8,64,80,2,pregen_2layer_models/dense_8_64_80_2b.h5
dense_8_64_80_4b,8,64,80,4,pregen_2layer_models/dense_8_64_80_4b.h5
dense_8_64_80_6b,8,64,80,6,pregen_2layer_models/dense_8_64_80_6b.h5
dense_8_64_80_8b,8,64,80,8,pregen_2layer_models/dense_8_64_80_8b.h5
dense_8_64_80_10b,8,64,80,10,pregen_2layer_models/dense_8_64_80_10b.h5
dense_8_64_80_12b,8,64,80,12,pregen_2layer_models/dense_8_64_80_12b.h5
dense_8_64_80_14b,8,64,80,14,pregen_2layer_models/dense_8_64_80_14b.h5
dense_8_64_80_16b,8,64,80,16,pregen_2layer_models/dense_8_64_80_16b.h5
dense_8_64_88_2b,8,64,88,2,pregen_2layer_models/dense_8_64_88_2b.h5
dense_8_64_88_4b,8,64,88,4,pregen_2layer_models/dense_8_64_88_4b.h5
dense_8_64_88_6b,8,64,88,6,pregen_2layer_models/dense_8_64_88_6b.h5
dense_8_64_88_8b,8,64,88,8,pregen_2layer_models/dense_8_64_88_8b.h5
dense_8_64_88_10b,8,64,88,10,pregen_2layer_models/dense_8_64_88_10b.h5
dense_8_64_88_12b,8,64,88,12,pregen_2layer_models/dense_8_64_88_12b.h5
dense_8_64_88_14b,8,64,88,14,pregen_2layer_models/dense_8_64_88_14b.h5
dense_8_64_88_16b,8,64,88,16,pregen_2layer_models/dense_8_64_88_16b.h5
dense_8_64_96_2b,8,64,96,2,pregen_2layer_models/dense_8_64_96_2b.h5
dense_8_64_96_4b,8,64,96,4,pregen_2layer_models/dense_8_64_96_4b.h5
dense_8_64_96_6b,8,64,96,6,pregen_2layer_models/dense_8_64_96_6b.h5
dense_8_64_96_8b,8,64,96,8,pregen_2layer_models/dense_8_64_96_8b.h5
dense_8_64_96_10b,8,64,96,10,pregen_2layer_models/dense_8_64_96_10b.h5
