model_name,d_in,d_out,d_out2,prec,model_file
dense_8_128_48_2b,8,128,48,2,pregen_2layer_models/dense_8_128_48_2b.h5
dense_8_128_48_4b,8,128,48,4,pregen_2layer_models/dense_8_128_48_4b.h5
dense_8_128_48_6b,8,128,48,6,pregen_2layer_models/dense_8_128_48_6b.h5
dense_8_128_48_8b,8,128,48,8,pregen_2layer_models/dense_8_128_48_8b.h5
dense_8_128_48_10b,8,128,48,10,pregen_2layer_models/dense_8_128_48_10b.h5
dense_8_128_48_12b,8,128,48,12,pregen_2layer_models/dense_8_128_48_12b.h5
dense_8_128_48_14b,8,128,48,14,pregen_2layer_models/dense_8_128_48_14b.h5
dense_8_128_48_16b,8,128,48,16,pregen_2layer_models/dense_8_128_48_16b.h5
dense_8_128_56_2b,8,128,56,2,pregen_2layer_models/dense_8_128_56_2b.h5
dense_8_128_56_4b,8,128,56,4,pregen_2layer_models/dense_8_128_56_4b.h5
dense_8_128_56_6b,8,128,56,6,pregen_2layer_models/dense_8_128_56_6b.h5
dense_8_128_56_8b,8,128,56,8,pregen_2layer_models/dense_8_128_56_8b.h5
dense_8_128_56_10b,8,128,56,10,pregen_2layer_models/dense_8_128_56_10b.h5
dense_8_128_56_12b,8,128,56,12,pregen_2layer_models/dense_8_128_56_12b.h5
dense_8_128_56_14b,8,128,56,14,pregen_2layer_models/dense_8_128_56_14b.h5
dense_8_128_56_16b,8,128,56,16,pregen_2layer_models/dense_8_128_56_16b.h5
dense_8_128_64_2b,8,128,64,2,pregen_2layer_models/dense_8_128_64_2b.h5
dense_8_128_64_4b,8,128,64,4,pregen_2layer_models/dense_8_128_64_4b.h5
dense_8_128_64_6b,8,128,64,6,pregen_2layer_models/dense_8_128_64_6b.h5
dense_8_128_64_8b,8,128,64,8,pregen_2layer_models/dense_8_128_64_8b.h5
dense_8_128_64_10b,8,128,64,10,pregen_2layer_models/dense_8_128_64_10b.h5
dense_8_128_64_12b,8,128,64,12,pregen_2layer_models/dense_8_128_64_12b.h5
dense_8_128_64_14b,8,128,64,14,pregen_2layer_models/dense_8_128_64_14b.h5
dense_8_128_64_16b,8,128,64,16,pregen_2layer_models/dense_8_128_64_16b.h5
dense_8_128_72_2b,8,128,72,2,pregen_2layer_models/dense_8_128_72_2b.h5
dense_8_128_72_4b,8,128,72,4,pregen_2layer_models/dense_8_128_72_4b.h5
dense_8_128_72_6b,8,128,72,6,pregen_2layer_models/dense_8_128_72_6b.h5
dense_8_128_72_8b,8,128,72,8,pregen_2layer_models/dense_8_128_72_8b.h5
dense_8_128_72_10b,8,128,72,10,pregen_2layer_models/dense_8_128_72_10b.h5
dense_8_128_72_12b,8,128,72,12,pregen_2layer_models/dense_8_128_72_12b.h5
dense_8_128_72_14b,8,128,72,14,pregen_2layer_models/dense_8_128_72_14b.h5
dense_8_128_72_16b,8,128,72,16,pregen_2layer_models/dense_8_128_72_16b.h5
dense_8_128_80_2b,8,128,80,2,pregen_2layer_models/dense_8_128_80_2b.h5
