model_name,config_str,input_size,d_out1,d_out2,d_out3,prec,model_file
dense_112_32_128_8_4b,112_32_128_8,112,32,128,8,4,pregen_3layer_models/dense_112_32_128_8_4b.h5
dense_112_32_128_16_4b,112_32_128_16,112,32,128,16,4,pregen_3layer_models/dense_112_32_128_16_4b.h5
dense_112_32_128_24_4b,112_32_128_24,112,32,128,24,4,pregen_3layer_models/dense_112_32_128_24_4b.h5
dense_112_32_128_32_4b,112_32_128_32,112,32,128,32,4,pregen_3layer_models/dense_112_32_128_32_4b.h5
dense_112_32_128_40_4b,112_32_128_40,112,32,128,40,4,pregen_3layer_models/dense_112_32_128_40_4b.h5
dense_112_32_128_48_4b,112_32_128_48,112,32,128,48,4,pregen_3layer_models/dense_112_32_128_48_4b.h5
dense_112_32_128_56_4b,112_32_128_56,112,32,128,56,4,pregen_3layer_models/dense_112_32_128_56_4b.h5
dense_112_32_128_64_4b,112_32_128_64,112,32,128,64,4,pregen_3layer_models/dense_112_32_128_64_4b.h5
dense_112_32_128_72_4b,112_32_128_72,112,32,128,72,4,pregen_3layer_models/dense_112_32_128_72_4b.h5
dense_112_32_128_80_4b,112_32_128_80,112,32,128,80,4,pregen_3layer_models/dense_112_32_128_80_4b.h5
dense_112_32_128_88_4b,112_32_128_88,112,32,128,88,4,pregen_3layer_models/dense_112_32_128_88_4b.h5
dense_112_32_128_96_4b,112_32_128_96,112,32,128,96,4,pregen_3layer_models/dense_112_32_128_96_4b.h5
dense_112_32_128_104_4b,112_32_128_104,112,32,128,104,4,pregen_3layer_models/dense_112_32_128_104_4b.h5
dense_112_32_128_112_4b,112_32_128_112,112,32,128,112,4,pregen_3layer_models/dense_112_32_128_112_4b.h5
dense_112_32_128_120_4b,112_32_128_120,112,32,128,120,4,pregen_3layer_models/dense_112_32_128_120_4b.h5
dense_112_32_128_128_4b,112_32_128_128,112,32,128,128,4,pregen_3layer_models/dense_112_32_128_128_4b.h5
dense_112_40_8_8_4b,112_40_8_8,112,40,8,8,4,pregen_3layer_models/dense_112_40_8_8_4b.h5
dense_112_40_8_16_4b,112_40_8_16,112,40,8,16,4,pregen_3layer_models/dense_112_40_8_16_4b.h5
dense_112_40_8_24_4b,112_40_8_24,112,40,8,24,4,pregen_3layer_models/dense_112_40_8_24_4b.h5
dense_112_40_8_32_4b,112_40_8_32,112,40,8,32,4,pregen_3layer_models/dense_112_40_8_32_4b.h5
dense_112_40_8_40_4b,112_40_8_40,112,40,8,40,4,pregen_3layer_models/dense_112_40_8_40_4b.h5
dense_112_40_8_48_4b,112_40_8_48,112,40,8,48,4,pregen_3layer_models/dense_112_40_8_48_4b.h5
dense_112_40_8_56_4b,112_40_8_56,112,40,8,56,4,pregen_3layer_models/dense_112_40_8_56_4b.h5
dense_112_40_8_64_4b,112_40_8_64,112,40,8,64,4,pregen_3layer_models/dense_112_40_8_64_4b.h5
dense_112_40_8_72_4b,112_40_8_72,112,40,8,72,4,pregen_3layer_models/dense_112_40_8_72_4b.h5
dense_112_40_8_80_4b,112_40_8_80,112,40,8,80,4,pregen_3layer_models/dense_112_40_8_80_4b.h5
dense_112_40_8_88_4b,112_40_8_88,112,40,8,88,4,pregen_3layer_models/dense_112_40_8_88_4b.h5
dense_112_40_8_96_4b,112_40_8_96,112,40,8,96,4,pregen_3layer_models/dense_112_40_8_96_4b.h5
dense_112_40_8_104_4b,112_40_8_104,112,40,8,104,4,pregen_3layer_models/dense_112_40_8_104_4b.h5
dense_112_40_8_112_4b,112_40_8_112,112,40,8,112,4,pregen_3layer_models/dense_112_40_8_112_4b.h5
dense_112_40_8_120_4b,112_40_8_120,112,40,8,120,4,pregen_3layer_models/dense_112_40_8_120_4b.h5
dense_112_40_8_128_4b,112_40_8_128,112,40,8,128,4,pregen_3layer_models/dense_112_40_8_128_4b.h5
dense_112_40_16_8_4b,112_40_16_8,112,40,16,8,4,pregen_3layer_models/dense_112_40_16_8_4b.h5
dense_112_40_16_16_4b,112_40_16_16,112,40,16,16,4,pregen_3layer_models/dense_112_40_16_16_4b.h5
dense_112_40_16_24_4b,112_40_16_24,112,40,16,24,4,pregen_3layer_models/dense_112_40_16_24_4b.h5
dense_112_40_16_32_4b,112_40_16_32,112,40,16,32,4,pregen_3layer_models/dense_112_40_16_32_4b.h5
dense_112_40_16_40_4b,112_40_16_40,112,40,16,40,4,pregen_3layer_models/dense_112_40_16_40_4b.h5
dense_112_40_16_48_4b,112_40_16_48,112,40,16,48,4,pregen_3layer_models/dense_112_40_16_48_4b.h5
dense_112_40_16_56_4b,112_40_16_56,112,40,16,56,4,pregen_3layer_models/dense_112_40_16_56_4b.h5
dense_112_40_16_64_4b,112_40_16_64,112,40,16,64,4,pregen_3layer_models/dense_112_40_16_64_4b.h5
dense_112_40_16_72_4b,112_40_16_72,112,40,16,72,4,pregen_3layer_models/dense_112_40_16_72_4b.h5
dense_112_40_16_80_4b,112_40_16_80,112,40,16,80,4,pregen_3layer_models/dense_112_40_16_80_4b.h5
dense_112_40_16_88_4b,112_40_16_88,112,40,16,88,4,pregen_3layer_models/dense_112_40_16_88_4b.h5
dense_112_40_16_96_4b,112_40_16_96,112,40,16,96,4,pregen_3layer_models/dense_112_40_16_96_4b.h5
dense_112_40_16_104_4b,112_40_16_104,112,40,16,104,4,pregen_3layer_models/dense_112_40_16_104_4b.h5
dense_112_40_16_112_4b,112_40_16_112,112,40,16,112,4,pregen_3layer_models/dense_112_40_16_112_4b.h5
dense_112_40_16_120_4b,112_40_16_120,112,40,16,120,4,pregen_3layer_models/dense_112_40_16_120_4b.h5
dense_112_40_16_128_4b,112_40_16_128,112,40,16,128,4,pregen_3layer_models/dense_112_40_16_128_4b.h5
dense_112_40_24_8_4b,112_40_24_8,112,40,24,8,4,pregen_3layer_models/dense_112_40_24_8_4b.h5
dense_112_40_24_16_4b,112_40_24_16,112,40,24,16,4,pregen_3layer_models/dense_112_40_24_16_4b.h5
dense_112_40_24_24_4b,112_40_24_24,112,40,24,24,4,pregen_3layer_models/dense_112_40_24_24_4b.h5
dense_112_40_24_32_4b,112_40_24_32,112,40,24,32,4,pregen_3layer_models/dense_112_40_24_32_4b.h5
dense_112_40_24_40_4b,112_40_24_40,112,40,24,40,4,pregen_3layer_models/dense_112_40_24_40_4b.h5
dense_112_40_24_48_4b,112_40_24_48,112,40,24,48,4,pregen_3layer_models/dense_112_40_24_48_4b.h5
dense_112_40_24_56_4b,112_40_24_56,112,40,24,56,4,pregen_3layer_models/dense_112_40_24_56_4b.h5
dense_112_40_24_64_4b,112_40_24_64,112,40,24,64,4,pregen_3layer_models/dense_112_40_24_64_4b.h5
dense_112_40_24_72_4b,112_40_24_72,112,40,24,72,4,pregen_3layer_models/dense_112_40_24_72_4b.h5
dense_112_40_24_80_4b,112_40_24_80,112,40,24,80,4,pregen_3layer_models/dense_112_40_24_80_4b.h5
dense_112_40_24_88_4b,112_40_24_88,112,40,24,88,4,pregen_3layer_models/dense_112_40_24_88_4b.h5
dense_112_40_24_96_4b,112_40_24_96,112,40,24,96,4,pregen_3layer_models/dense_112_40_24_96_4b.h5
dense_112_40_24_104_4b,112_40_24_104,112,40,24,104,4,pregen_3layer_models/dense_112_40_24_104_4b.h5
dense_112_40_24_112_4b,112_40_24_112,112,40,24,112,4,pregen_3layer_models/dense_112_40_24_112_4b.h5
dense_112_40_24_120_4b,112_40_24_120,112,40,24,120,4,pregen_3layer_models/dense_112_40_24_120_4b.h5
dense_112_40_24_128_4b,112_40_24_128,112,40,24,128,4,pregen_3layer_models/dense_112_40_24_128_4b.h5
dense_112_40_32_8_4b,112_40_32_8,112,40,32,8,4,pregen_3layer_models/dense_112_40_32_8_4b.h5
dense_112_40_32_16_4b,112_40_32_16,112,40,32,16,4,pregen_3layer_models/dense_112_40_32_16_4b.h5
dense_112_40_32_24_4b,112_40_32_24,112,40,32,24,4,pregen_3layer_models/dense_112_40_32_24_4b.h5
dense_112_40_32_32_4b,112_40_32_32,112,40,32,32,4,pregen_3layer_models/dense_112_40_32_32_4b.h5
dense_112_40_32_40_4b,112_40_32_40,112,40,32,40,4,pregen_3layer_models/dense_112_40_32_40_4b.h5
dense_112_40_32_48_4b,112_40_32_48,112,40,32,48,4,pregen_3layer_models/dense_112_40_32_48_4b.h5
dense_112_40_32_56_4b,112_40_32_56,112,40,32,56,4,pregen_3layer_models/dense_112_40_32_56_4b.h5
