model_name,d_in,d_out,prec,model_file
dense_12_6_10b,12,6,10,pregen_latency_models/dense_12_6_10b.h5
dense_12_6_12b,12,6,12,pregen_latency_models/dense_12_6_12b.h5
dense_12_6_14b,12,6,14,pregen_latency_models/dense_12_6_14b.h5
dense_12_6_16b,12,6,16,pregen_latency_models/dense_12_6_16b.h5
dense_12_8_2b,12,8,2,pregen_latency_models/dense_12_8_2b.h5
dense_12_8_4b,12,8,4,pregen_latency_models/dense_12_8_4b.h5
dense_12_8_6b,12,8,6,pregen_latency_models/dense_12_8_6b.h5
dense_12_8_8b,12,8,8,pregen_latency_models/dense_12_8_8b.h5
dense_12_8_10b,12,8,10,pregen_latency_models/dense_12_8_10b.h5
dense_12_8_12b,12,8,12,pregen_latency_models/dense_12_8_12b.h5
dense_12_8_14b,12,8,14,pregen_latency_models/dense_12_8_14b.h5
dense_12_8_16b,12,8,16,pregen_latency_models/dense_12_8_16b.h5
dense_12_10_2b,12,10,2,pregen_latency_models/dense_12_10_2b.h5
dense_12_10_4b,12,10,4,pregen_latency_models/dense_12_10_4b.h5
dense_12_10_6b,12,10,6,pregen_latency_models/dense_12_10_6b.h5
dense_12_10_8b,12,10,8,pregen_latency_models/dense_12_10_8b.h5
dense_12_10_10b,12,10,10,pregen_latency_models/dense_12_10_10b.h5
dense_12_10_12b,12,10,12,pregen_latency_models/dense_12_10_12b.h5
dense_12_10_14b,12,10,14,pregen_latency_models/dense_12_10_14b.h5
dense_12_10_16b,12,10,16,pregen_latency_models/dense_12_10_16b.h5
dense_12_12_2b,12,12,2,pregen_latency_models/dense_12_12_2b.h5
dense_12_12_4b,12,12,4,pregen_latency_models/dense_12_12_4b.h5
dense_12_12_6b,12,12,6,pregen_latency_models/dense_12_12_6b.h5
dense_12_12_8b,12,12,8,pregen_latency_models/dense_12_12_8b.h5
dense_12_12_10b,12,12,10,pregen_latency_models/dense_12_12_10b.h5
dense_12_12_12b,12,12,12,pregen_latency_models/dense_12_12_12b.h5
dense_12_12_14b,12,12,14,pregen_latency_models/dense_12_12_14b.h5
dense_12_12_16b,12,12,16,pregen_latency_models/dense_12_12_16b.h5
dense_12_14_2b,12,14,2,pregen_latency_models/dense_12_14_2b.h5
dense_12_14_4b,12,14,4,pregen_latency_models/dense_12_14_4b.h5
dense_12_14_6b,12,14,6,pregen_latency_models/dense_12_14_6b.h5
dense_12_14_8b,12,14,8,pregen_latency_models/dense_12_14_8b.h5
dense_12_14_10b,12,14,10,pregen_latency_models/dense_12_14_10b.h5
dense_12_14_12b,12,14,12,pregen_latency_models/dense_12_14_12b.h5
dense_12_14_14b,12,14,14,pregen_latency_models/dense_12_14_14b.h5
dense_12_14_16b,12,14,16,pregen_latency_models/dense_12_14_16b.h5
dense_12_16_2b,12,16,2,pregen_latency_models/dense_12_16_2b.h5
dense_12_16_4b,12,16,4,pregen_latency_models/dense_12_16_4b.h5
dense_12_16_6b,12,16,6,pregen_latency_models/dense_12_16_6b.h5
dense_12_16_8b,12,16,8,pregen_latency_models/dense_12_16_8b.h5
dense_12_16_10b,12,16,10,pregen_latency_models/dense_12_16_10b.h5
dense_12_16_12b,12,16,12,pregen_latency_models/dense_12_16_12b.h5
dense_12_16_14b,12,16,14,pregen_latency_models/dense_12_16_14b.h5
dense_12_16_16b,12,16,16,pregen_latency_models/dense_12_16_16b.h5
dense_12_18_2b,12,18,2,pregen_latency_models/dense_12_18_2b.h5
dense_12_18_4b,12,18,4,pregen_latency_models/dense_12_18_4b.h5
dense_12_18_6b,12,18,6,pregen_latency_models/dense_12_18_6b.h5
dense_12_18_8b,12,18,8,pregen_latency_models/dense_12_18_8b.h5
dense_12_18_10b,12,18,10,pregen_latency_models/dense_12_18_10b.h5
dense_12_18_12b,12,18,12,pregen_latency_models/dense_12_18_12b.h5
dense_12_18_14b,12,18,14,pregen_latency_models/dense_12_18_14b.h5
dense_12_18_16b,12,18,16,pregen_latency_models/dense_12_18_16b.h5
dense_12_20_2b,12,20,2,pregen_latency_models/dense_12_20_2b.h5
dense_12_20_4b,12,20,4,pregen_latency_models/dense_12_20_4b.h5
dense_12_20_6b,12,20,6,pregen_latency_models/dense_12_20_6b.h5
dense_12_20_8b,12,20,8,pregen_latency_models/dense_12_20_8b.h5
dense_12_20_10b,12,20,10,pregen_latency_models/dense_12_20_10b.h5
dense_12_20_12b,12,20,12,pregen_latency_models/dense_12_20_12b.h5
dense_12_20_14b,12,20,14,pregen_latency_models/dense_12_20_14b.h5
dense_12_20_16b,12,20,16,pregen_latency_models/dense_12_20_16b.h5
dense_12_22_2b,12,22,2,pregen_latency_models/dense_12_22_2b.h5
dense_12_22_4b,12,22,4,pregen_latency_models/dense_12_22_4b.h5
dense_12_22_6b,12,22,6,pregen_latency_models/dense_12_22_6b.h5
dense_12_22_8b,12,22,8,pregen_latency_models/dense_12_22_8b.h5
dense_12_22_10b,12,22,10,pregen_latency_models/dense_12_22_10b.h5
dense_12_22_12b,12,22,12,pregen_latency_models/dense_12_22_12b.h5
dense_12_22_14b,12,22,14,pregen_latency_models/dense_12_22_14b.h5
dense_12_22_16b,12,22,16,pregen_latency_models/dense_12_22_16b.h5
dense_12_24_2b,12,24,2,pregen_latency_models/dense_12_24_2b.h5
dense_12_24_4b,12,24,4,pregen_latency_models/dense_12_24_4b.h5
dense_12_24_6b,12,24,6,pregen_latency_models/dense_12_24_6b.h5
dense_12_24_8b,12,24,8,pregen_latency_models/dense_12_24_8b.h5
dense_12_24_10b,12,24,10,pregen_latency_models/dense_12_24_10b.h5
dense_12_24_12b,12,24,12,pregen_latency_models/dense_12_24_12b.h5
dense_12_24_14b,12,24,14,pregen_latency_models/dense_12_24_14b.h5
dense_12_24_16b,12,24,16,pregen_latency_models/dense_12_24_16b.h5
dense_12_26_2b,12,26,2,pregen_latency_models/dense_12_26_2b.h5
dense_12_26_4b,12,26,4,pregen_latency_models/dense_12_26_4b.h5
dense_12_26_6b,12,26,6,pregen_latency_models/dense_12_26_6b.h5
dense_12_26_8b,12,26,8,pregen_latency_models/dense_12_26_8b.h5
dense_12_26_10b,12,26,10,pregen_latency_models/dense_12_26_10b.h5
dense_12_26_12b,12,26,12,pregen_latency_models/dense_12_26_12b.h5
dense_12_26_14b,12,26,14,pregen_latency_models/dense_12_26_14b.h5
dense_12_26_16b,12,26,16,pregen_latency_models/dense_12_26_16b.h5
dense_12_28_2b,12,28,2,pregen_latency_models/dense_12_28_2b.h5
dense_12_28_4b,12,28,4,pregen_latency_models/dense_12_28_4b.h5
dense_12_28_6b,12,28,6,pregen_latency_models/dense_12_28_6b.h5
dense_12_28_8b,12,28,8,pregen_latency_models/dense_12_28_8b.h5
dense_12_28_10b,12,28,10,pregen_latency_models/dense_12_28_10b.h5
dense_12_28_12b,12,28,12,pregen_latency_models/dense_12_28_12b.h5
dense_12_28_14b,12,28,14,pregen_latency_models/dense_12_28_14b.h5
dense_12_28_16b,12,28,16,pregen_latency_models/dense_12_28_16b.h5
dense_12_30_2b,12,30,2,pregen_latency_models/dense_12_30_2b.h5
dense_12_30_4b,12,30,4,pregen_latency_models/dense_12_30_4b.h5
dense_12_30_6b,12,30,6,pregen_latency_models/dense_12_30_6b.h5
dense_12_30_8b,12,30,8,pregen_latency_models/dense_12_30_8b.h5
dense_12_30_10b,12,30,10,pregen_latency_models/dense_12_30_10b.h5
dense_12_30_12b,12,30,12,pregen_latency_models/dense_12_30_12b.h5
dense_12_30_14b,12,30,14,pregen_latency_models/dense_12_30_14b.h5
dense_12_30_16b,12,30,16,pregen_latency_models/dense_12_30_16b.h5
