model_name,d_in,d_out,prec,model_file
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5
dense_32_32_8b,32,32,8,pregen_models/dense_32_32_8b.h5
dense_32_32_10b,32,32,10,pregen_models/dense_32_32_10b.h5
dense_32_32_12b,32,32,12,pregen_models/dense_32_32_12b.h5
dense_32_32_14b,32,32,14,pregen_models/dense_32_32_14b.h5
dense_32_64_2b,32,64,2,pregen_models/dense_32_64_2b.h5
dense_32_64_4b,32,64,4,pregen_models/dense_32_64_4b.h5
dense_32_64_6b,32,64,6,pregen_models/dense_32_64_6b.h5
dense_32_64_8b,32,64,8,pregen_models/dense_32_64_8b.h5
dense_32_64_10b,32,64,10,pregen_models/dense_32_64_10b.h5
dense_32_64_12b,32,64,12,pregen_models/dense_32_64_12b.h5
dense_32_64_14b,32,64,14,pregen_models/dense_32_64_14b.h5
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5
dense_32_160_12b,32,160,12,pregen_models/dense_32_160_12b.h5
dense_32_160_14b,32,160,14,pregen_models/dense_32_160_14b.h5
dense_32_192_2b,32,192,2,pregen_models/dense_32_192_2b.h5
dense_32_192_4b,32,192,4,pregen_models/dense_32_192_4b.h5
dense_32_192_6b,32,192,6,pregen_models/dense_32_192_6b.h5
dense_32_192_8b,32,192,8,pregen_models/dense_32_192_8b.h5
dense_32_192_10b,32,192,10,pregen_models/dense_32_192_10b.h5
dense_32_192_12b,32,192,12,pregen_models/dense_32_192_12b.h5
dense_32_192_14b,32,192,14,pregen_models/dense_32_192_14b.h5
dense_32_224_2b,32,224,2,pregen_models/dense_32_224_2b.h5
dense_32_224_4b,32,224,4,pregen_models/dense_32_224_4b.h5
dense_32_224_6b,32,224,6,pregen_models/dense_32_224_6b.h5
dense_32_224_8b,32,224,8,pregen_models/dense_32_224_8b.h5
dense_32_224_10b,32,224,10,pregen_models/dense_32_224_10b.h5
dense_32_224_12b,32,224,12,pregen_models/dense_32_224_12b.h5
dense_32_224_14b,32,224,14,pregen_models/dense_32_224_14b.h5
dense_32_256_2b,32,256,2,pregen_models/dense_32_256_2b.h5
dense_32_256_4b,32,256,4,pregen_models/dense_32_256_4b.h5
dense_32_256_6b,32,256,6,pregen_models/dense_32_256_6b.h5
dense_32_256_8b,32,256,8,pregen_models/dense_32_256_8b.h5
dense_32_256_10b,32,256,10,pregen_models/dense_32_256_10b.h5
dense_32_256_12b,32,256,12,pregen_models/dense_32_256_12b.h5
dense_32_256_14b,32,256,14,pregen_models/dense_32_256_14b.h5
dense_64_32_2b,64,32,2,pregen_models/dense_64_32_2b.h5
dense_64_32_4b,64,32,4,pregen_models/dense_64_32_4b.h5
dense_64_32_6b,64,32,6,pregen_models/dense_64_32_6b.h5
dense_64_32_8b,64,32,8,pregen_models/dense_64_32_8b.h5
dense_64_32_10b,64,32,10,pregen_models/dense_64_32_10b.h5
dense_64_32_12b,64,32,12,pregen_models/dense_64_32_12b.h5
dense_64_32_14b,64,32,14,pregen_models/dense_64_32_14b.h5
dense_64_64_2b,64,64,2,pregen_models/dense_64_64_2b.h5
dense_64_64_4b,64,64,4,pregen_models/dense_64_64_4b.h5
dense_64_64_6b,64,64,6,pregen_models/dense_64_64_6b.h5
dense_64_64_8b,64,64,8,pregen_models/dense_64_64_8b.h5
dense_64_64_10b,64,64,10,pregen_models/dense_64_64_10b.h5
dense_64_64_12b,64,64,12,pregen_models/dense_64_64_12b.h5
dense_64_64_14b,64,64,14,pregen_models/dense_64_64_14b.h5
dense_64_96_2b,64,96,2,pregen_models/dense_64_96_2b.h5
dense_64_96_4b,64,96,4,pregen_models/dense_64_96_4b.h5
dense_64_96_6b,64,96,6,pregen_models/dense_64_96_6b.h5
dense_64_96_8b,64,96,8,pregen_models/dense_64_96_8b.h5
dense_64_96_10b,64,96,10,pregen_models/dense_64_96_10b.h5
dense_64_96_12b,64,96,12,pregen_models/dense_64_96_12b.h5
dense_64_96_14b,64,96,14,pregen_models/dense_64_96_14b.h5
dense_64_128_2b,64,128,2,pregen_models/dense_64_128_2b.h5
dense_64_128_4b,64,128,4,pregen_models/dense_64_128_4b.h5
dense_64_128_6b,64,128,6,pregen_models/dense_64_128_6b.h5
dense_64_128_8b,64,128,8,pregen_models/dense_64_128_8b.h5
dense_64_128_10b,64,128,10,pregen_models/dense_64_128_10b.h5
dense_64_128_12b,64,128,12,pregen_models/dense_64_128_12b.h5
dense_64_128_14b,64,128,14,pregen_models/dense_64_128_14b.h5
dense_64_160_2b,64,160,2,pregen_models/dense_64_160_2b.h5
dense_64_160_4b,64,160,4,pregen_models/dense_64_160_4b.h5
dense_64_160_6b,64,160,6,pregen_models/dense_64_160_6b.h5
dense_64_160_8b,64,160,8,pregen_models/dense_64_160_8b.h5
dense_64_160_10b,64,160,10,pregen_models/dense_64_160_10b.h5
dense_64_160_12b,64,160,12,pregen_models/dense_64_160_12b.h5
dense_64_160_14b,64,160,14,pregen_models/dense_64_160_14b.h5
dense_64_192_2b,64,192,2,pregen_models/dense_64_192_2b.h5
dense_64_192_4b,64,192,4,pregen_models/dense_64_192_4b.h5
dense_64_192_6b,64,192,6,pregen_models/dense_64_192_6b.h5
dense_64_192_8b,64,192,8,pregen_models/dense_64_192_8b.h5
dense_64_192_10b,64,192,10,pregen_models/dense_64_192_10b.h5
dense_64_192_12b,64,192,12,pregen_models/dense_64_192_12b.h5
dense_64_192_14b,64,192,14,pregen_models/dense_64_192_14b.h5
dense_64_224_2b,64,224,2,pregen_models/dense_64_224_2b.h5
dense_64_224_4b,64,224,4,pregen_models/dense_64_224_4b.h5
dense_64_224_6b,64,224,6,pregen_models/dense_64_224_6b.h5
dense_64_224_8b,64,224,8,pregen_models/dense_64_224_8b.h5
dense_64_224_10b,64,224,10,pregen_models/dense_64_224_10b.h5
dense_64_224_12b,64,224,12,pregen_models/dense_64_224_12b.h5
dense_64_224_14b,64,224,14,pregen_models/dense_64_224_14b.h5
dense_64_256_2b,64,256,2,pregen_models/dense_64_256_2b.h5
dense_64_256_4b,64,256,4,pregen_models/dense_64_256_4b.h5
dense_64_256_6b,64,256,6,pregen_models/dense_64_256_6b.h5
dense_64_256_8b,64,256,8,pregen_models/dense_64_256_8b.h5
dense_64_256_10b,64,256,10,pregen_models/dense_64_256_10b.h5
dense_64_256_12b,64,256,12,pregen_models/dense_64_256_12b.h5
dense_64_256_14b,64,256,14,pregen_models/dense_64_256_14b.h5
dense_96_32_2b,96,32,2,pregen_models/dense_96_32_2b.h5
dense_96_32_4b,96,32,4,pregen_models/dense_96_32_4b.h5
dense_96_32_6b,96,32,6,pregen_models/dense_96_32_6b.h5
dense_96_32_8b,96,32,8,pregen_models/dense_96_32_8b.h5
dense_96_32_10b,96,32,10,pregen_models/dense_96_32_10b.h5
dense_96_32_12b,96,32,12,pregen_models/dense_96_32_12b.h5
dense_96_32_14b,96,32,14,pregen_models/dense_96_32_14b.h5
dense_96_64_2b,96,64,2,pregen_models/dense_96_64_2b.h5
dense_96_64_4b,96,64,4,pregen_models/dense_96_64_4b.h5
dense_96_64_6b,96,64,6,pregen_models/dense_96_64_6b.h5
dense_96_64_8b,96,64,8,pregen_models/dense_96_64_8b.h5
dense_96_64_10b,96,64,10,pregen_models/dense_96_64_10b.h5
dense_96_64_12b,96,64,12,pregen_models/dense_96_64_12b.h5
dense_96_64_14b,96,64,14,pregen_models/dense_96_64_14b.h5
dense_96_96_2b,96,96,2,pregen_models/dense_96_96_2b.h5
dense_96_96_4b,96,96,4,pregen_models/dense_96_96_4b.h5
dense_96_96_6b,96,96,6,pregen_models/dense_96_96_6b.h5
dense_96_96_8b,96,96,8,pregen_models/dense_96_96_8b.h5
dense_96_96_10b,96,96,10,pregen_models/dense_96_96_10b.h5
dense_96_96_12b,96,96,12,pregen_models/dense_96_96_12b.h5
dense_96_96_14b,96,96,14,pregen_models/dense_96_96_14b.h5
dense_96_128_2b,96,128,2,pregen_models/dense_96_128_2b.h5
dense_96_128_4b,96,128,4,pregen_models/dense_96_128_4b.h5
dense_96_128_6b,96,128,6,pregen_models/dense_96_128_6b.h5
dense_96_128_8b,96,128,8,pregen_models/dense_96_128_8b.h5
dense_96_128_10b,96,128,10,pregen_models/dense_96_128_10b.h5
dense_96_128_12b,96,128,12,pregen_models/dense_96_128_12b.h5
dense_96_128_14b,96,128,14,pregen_models/dense_96_128_14b.h5
dense_96_160_2b,96,160,2,pregen_models/dense_96_160_2b.h5
dense_96_160_4b,96,160,4,pregen_models/dense_96_160_4b.h5
dense_96_160_6b,96,160,6,pregen_models/dense_96_160_6b.h5
dense_96_160_8b,96,160,8,pregen_models/dense_96_160_8b.h5
dense_96_160_10b,96,160,10,pregen_models/dense_96_160_10b.h5
dense_96_160_12b,96,160,12,pregen_models/dense_96_160_12b.h5
dense_96_160_14b,96,160,14,pregen_models/dense_96_160_14b.h5
dense_96_192_2b,96,192,2,pregen_models/dense_96_192_2b.h5
dense_96_192_4b,96,192,4,pregen_models/dense_96_192_4b.h5
dense_96_192_6b,96,192,6,pregen_models/dense_96_192_6b.h5
dense_96_192_8b,96,192,8,pregen_models/dense_96_192_8b.h5
dense_96_192_10b,96,192,10,pregen_models/dense_96_192_10b.h5
dense_96_192_12b,96,192,12,pregen_models/dense_96_192_12b.h5
dense_96_192_14b,96,192,14,pregen_models/dense_96_192_14b.h5
dense_96_224_2b,96,224,2,pregen_models/dense_96_224_2b.h5
dense_96_224_4b,96,224,4,pregen_models/dense_96_224_4b.h5
dense_96_224_6b,96,224,6,pregen_models/dense_96_224_6b.h5
dense_96_224_8b,96,224,8,pregen_models/dense_96_224_8b.h5
dense_96_224_10b,96,224,10,pregen_models/dense_96_224_10b.h5
dense_96_224_12b,96,224,12,pregen_models/dense_96_224_12b.h5
dense_96_224_14b,96,224,14,pregen_models/dense_96_224_14b.h5
dense_96_256_2b,96,256,2,pregen_models/dense_96_256_2b.h5
dense_96_256_4b,96,256,4,pregen_models/dense_96_256_4b.h5
dense_96_256_6b,96,256,6,pregen_models/dense_96_256_6b.h5
dense_96_256_8b,96,256,8,pregen_models/dense_96_256_8b.h5
dense_96_256_10b,96,256,10,pregen_models/dense_96_256_10b.h5
dense_96_256_12b,96,256,12,pregen_models/dense_96_256_12b.h5
dense_96_256_14b,96,256,14,pregen_models/dense_96_256_14b.h5
dense_128_32_2b,128,32,2,pregen_models/dense_128_32_2b.h5
dense_128_32_4b,128,32,4,pregen_models/dense_128_32_4b.h5
dense_128_32_6b,128,32,6,pregen_models/dense_128_32_6b.h5
dense_128_32_8b,128,32,8,pregen_models/dense_128_32_8b.h5
dense_128_32_10b,128,32,10,pregen_models/dense_128_32_10b.h5
dense_128_32_12b,128,32,12,pregen_models/dense_128_32_12b.h5
dense_128_32_14b,128,32,14,pregen_models/dense_128_32_14b.h5
dense_128_64_2b,128,64,2,pregen_models/dense_128_64_2b.h5
dense_128_64_4b,128,64,4,pregen_models/dense_128_64_4b.h5
dense_128_64_6b,128,64,6,pregen_models/dense_128_64_6b.h5
dense_128_64_8b,128,64,8,pregen_models/dense_128_64_8b.h5
dense_128_64_10b,128,64,10,pregen_models/dense_128_64_10b.h5
dense_128_64_12b,128,64,12,pregen_models/dense_128_64_12b.h5
dense_128_64_14b,128,64,14,pregen_models/dense_128_64_14b.h5
dense_128_96_2b,128,96,2,pregen_models/dense_128_96_2b.h5
dense_128_96_4b,128,96,4,pregen_models/dense_128_96_4b.h5
dense_128_96_6b,128,96,6,pregen_models/dense_128_96_6b.h5
dense_128_96_8b,128,96,8,pregen_models/dense_128_96_8b.h5
dense_128_96_10b,128,96,10,pregen_models/dense_128_96_10b.h5
dense_128_96_12b,128,96,12,pregen_models/dense_128_96_12b.h5
dense_128_96_14b,128,96,14,pregen_models/dense_128_96_14b.h5
dense_128_128_2b,128,128,2,pregen_models/dense_128_128_2b.h5
dense_128_128_4b,128,128,4,pregen_models/dense_128_128_4b.h5
dense_128_128_6b,128,128,6,pregen_models/dense_128_128_6b.h5
dense_128_128_8b,128,128,8,pregen_models/dense_128_128_8b.h5
dense_128_128_10b,128,128,10,pregen_models/dense_128_128_10b.h5
dense_128_128_12b,128,128,12,pregen_models/dense_128_128_12b.h5
dense_128_128_14b,128,128,14,pregen_models/dense_128_128_14b.h5
dense_128_160_2b,128,160,2,pregen_models/dense_128_160_2b.h5
dense_128_160_4b,128,160,4,pregen_models/dense_128_160_4b.h5
dense_128_160_6b,128,160,6,pregen_models/dense_128_160_6b.h5
dense_128_160_8b,128,160,8,pregen_models/dense_128_160_8b.h5
dense_128_160_10b,128,160,10,pregen_models/dense_128_160_10b.h5
dense_128_160_12b,128,160,12,pregen_models/dense_128_160_12b.h5
dense_128_160_14b,128,160,14,pregen_models/dense_128_160_14b.h5
dense_128_192_2b,128,192,2,pregen_models/dense_128_192_2b.h5
dense_128_192_4b,128,192,4,pregen_models/dense_128_192_4b.h5
dense_128_192_6b,128,192,6,pregen_models/dense_128_192_6b.h5
dense_128_192_8b,128,192,8,pregen_models/dense_128_192_8b.h5
dense_128_192_10b,128,192,10,pregen_models/dense_128_192_10b.h5
dense_128_192_12b,128,192,12,pregen_models/dense_128_192_12b.h5
dense_128_192_14b,128,192,14,pregen_models/dense_128_192_14b.h5
dense_128_224_2b,128,224,2,pregen_models/dense_128_224_2b.h5
dense_128_224_4b,128,224,4,pregen_models/dense_128_224_4b.h5
dense_128_224_6b,128,224,6,pregen_models/dense_128_224_6b.h5
dense_128_224_8b,128,224,8,pregen_models/dense_128_224_8b.h5
dense_128_224_10b,128,224,10,pregen_models/dense_128_224_10b.h5
dense_128_224_12b,128,224,12,pregen_models/dense_128_224_12b.h5
dense_128_224_14b,128,224,14,pregen_models/dense_128_224_14b.h5
dense_128_256_2b,128,256,2,pregen_models/dense_128_256_2b.h5
dense_128_256_4b,128,256,4,pregen_models/dense_128_256_4b.h5
dense_128_256_6b,128,256,6,pregen_models/dense_128_256_6b.h5
dense_128_256_8b,128,256,8,pregen_models/dense_128_256_8b.h5
dense_128_256_10b,128,256,10,pregen_models/dense_128_256_10b.h5
dense_128_256_12b,128,256,12,pregen_models/dense_128_256_12b.h5
dense_128_256_14b,128,256,14,pregen_models/dense_128_256_14b.h5
dense_160_32_2b,160,32,2,pregen_models/dense_160_32_2b.h5
dense_160_32_4b,160,32,4,pregen_models/dense_160_32_4b.h5
dense_160_32_6b,160,32,6,pregen_models/dense_160_32_6b.h5
