model_name,d_in,d_out,prec,model_file
dense-224-96-2b,224,96,2,pregen_models/dense-224-96-2b.h5
dense-224-96-4b,224,96,4,pregen_models/dense-224-96-4b.h5
dense-224-96-6b,224,96,6,pregen_models/dense-224-96-6b.h5
dense-224-96-8b,224,96,8,pregen_models/dense-224-96-8b.h5
dense-224-96-10b,224,96,10,pregen_models/dense-224-96-10b.h5
dense-224-96-12b,224,96,12,pregen_models/dense-224-96-12b.h5
dense-224-128-2b,224,128,2,pregen_models/dense-224-128-2b.h5
dense-224-128-4b,224,128,4,pregen_models/dense-224-128-4b.h5
dense-224-128-6b,224,128,6,pregen_models/dense-224-128-6b.h5
dense-224-128-8b,224,128,8,pregen_models/dense-224-128-8b.h5
dense-224-128-10b,224,128,10,pregen_models/dense-224-128-10b.h5
dense-224-128-12b,224,128,12,pregen_models/dense-224-128-12b.h5
dense-224-160-2b,224,160,2,pregen_models/dense-224-160-2b.h5
dense-224-160-4b,224,160,4,pregen_models/dense-224-160-4b.h5
dense-224-160-6b,224,160,6,pregen_models/dense-224-160-6b.h5
dense-224-160-8b,224,160,8,pregen_models/dense-224-160-8b.h5
dense-224-160-10b,224,160,10,pregen_models/dense-224-160-10b.h5
dense-224-160-12b,224,160,12,pregen_models/dense-224-160-12b.h5
dense-224-192-2b,224,192,2,pregen_models/dense-224-192-2b.h5
dense-224-192-4b,224,192,4,pregen_models/dense-224-192-4b.h5
