model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,1,latency,True,5.0,3.705,0.0,0.0,1.0,1.0,514.0,7147.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,512,latency,True,5.0,3.705,0.0,0.0,1.0,1.0,514.0,7147.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,1024,latency,True,5.0,3.705,0.0,0.0,1.0,1.0,514.0,7147.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,1,latency,True,5.0,4.35,1.0,1.0,1.0,1.0,1860.0,15357.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,512,latency,True,5.0,4.35,2.0,2.0,3.0,3.0,1350.0,15095.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,1024,latency,True,5.0,4.35,2.0,2.0,3.0,3.0,1350.0,15095.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,1,latency,True,5.0,4.362,1.0,1.0,1.0,1.0,2244.0,28230.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,512,latency,True,5.0,4.362,2.0,2.0,3.0,3.0,1734.0,27968.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,1024,latency,True,5.0,4.362,2.0,2.0,3.0,3.0,1734.0,27968.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_8b,32,32,8,pregen_models/dense_32_32_8b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,2692.0,34010.0,0.0,263.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_8b,32,32,8,pregen_models/dense_32_32_8b.h5,512,latency,True,5.0,4.323,145.0,145.0,146.0,146.0,12028.0,34053.0,0.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_8b,32,32,8,pregen_models/dense_32_32_8b.h5,1024,latency,True,5.0,4.323,145.0,145.0,146.0,146.0,12028.0,34053.0,0.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_10b,32,32,10,pregen_models/dense_32_32_10b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,3298.0,29868.0,0.0,680.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_10b,32,32,10,pregen_models/dense_32_32_10b.h5,512,latency,True,5.0,4.155,343.0,343.0,344.0,344.0,13429.0,30379.0,0.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
