model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,1,resource,True,5.0,3.585,0.0,0.0,1.0,1.0,514.0,7357.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,641.0,6750.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_2b,32,32,2,pregen_models/dense_32_32_2b.h5,1024,resource,True,5.0,3.098,1025.0,1026.0,1024.0,1024.0,1152.0,7338.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,1,resource,True,5.0,4.35,0.0,0.0,1.0,1.0,514.0,15584.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,644.0,6750.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_4b,32,32,4,pregen_models/dense_32_32_4b.h5,1024,resource,True,5.0,3.098,1025.0,1026.0,1024.0,1024.0,1152.0,7338.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,1,resource,True,5.0,3.815,1.0,1.0,2.0,2.0,1539.0,28813.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,653.0,6745.0,2.0,2.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_6b,32,32,6,pregen_models/dense_32_32_6b.h5,1024,resource,True,5.0,3.098,1025.0,1026.0,1024.0,1024.0,1152.0,7338.0,2.0,1.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_32_8b,32,32,8,pregen_models/dense_32_32_8b.h5,1,resource,True,5.0,4.155,1.0,1.0,2.0,2.0,5063.0,33514.0,0.0,263.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
